name,estab_year,employees_count,location,job_ids,skills,hr,Designation,Involvement,Exp,url
AGCO Corporation,Founded in 1990,More than 1000 employees,Bangalore,238770,"Product Management, Agile, Data Analysis, Stakeholder Management, Warranty Management",Siddhartha S,Product Owner,Technical Management → Product Manageme,5-9 Years,https://www.instahyre.com/job-238770-product-owner-at-agco-corporation-bangalore/
Digicides,Founded in 2017,10 - 50 employees,"Hyderabad, Pune",232279,"Business Development, Corporate Sales, Sales",Pratiksha Yaduwanshi,Sales Associate,Sales and Business → Sales / Business Developme,1-4 Years,https://www.instahyre.com/job-232279-sales-associate-at-digicides-hyderabad-pune/
Kern Seedtech,Founded in 2021,10 - 50 employees,Work From Home,258174,"Brand Management, Business Development, Corporate Strategy, General Management, Operations Management, Strategic Planning",Ankit Garg,CRM & Digital Marketing Specialist,Sales and Business → General Management / Strategy,3-6 Years,https://www.instahyre.com/job-258174-crm-digital-marketing-specialist-at-kern-seedtech-work-from-home/
Blue Ocean Academy,Founded in 1988,10 - 50 employees,Delhi,220759,"Direct Sales, Telecalling",Deepak Mahajan,Training Consultant,Sales and Business → Sales / Business Developme,2-4 Years,https://www.instahyre.com/job-220759-training-consultant-at-blue-ocean-academy-delhi/
SugarBox Networks,Founded in 2016,200 - 500 employees,Mumbai,241862,"Business Development, Sales",Aparna Chaphekar,Business Development Manager,Sales and Business → Sales / Business Developme,2-6 Years,https://www.instahyre.com/job-241862-business-development-manager-at-sugarbox-networks-mumbai/
Travelounce,Founded in 2022,50 - 200 employees,Delhi,258649,"Direct Sales, International Sales, Sales",Ritu Agarwal,Sales Consultant,Sales and Business → Sales / Business Developme,1-5 Years,https://www.instahyre.com/job-258649-sales-consultant-at-travelounce-delhi/
Chatterbox Technologies,Founded in 2016,50 - 200 employees,Mumbai,258073,"Business Development, Sales",Mahek Garg,Business Development Executive,Sales and Business → Sales / Business Developme,1-3 Years,https://www.instahyre.com/job-258073-business-development-executive-at-chatterbox-technologies-mumbai/
Sloovi,Founded in 2013,50 - 200 employees,Chennai,249865,"Business Development, Direct Sales, International Sales, Sales, Telecalling",Fariha Tasnim,Sales Executive,Sales and Business → Sales / Business Developme,1-3 Years,https://www.instahyre.com/job-249865-sales-executive-at-sloovi-chennai/
Buna,Founded in 2020,10 - 50 employees,Delhi,250921,"Customer Interaction, Customer Relationship, Customer Service",Shivam Gupta,E - Commerce Manager,Sales and Business → Customer Service,1-4 Years,https://www.instahyre.com/job-250921-e-commerce-manager-at-buna-delhi/
Ellementry,Founded in 2018,50 - 200 employees,Chennai,234607,"Direct Sales, Sales",Devrat Singh,Retail Sales Executive,Sales and Business → Sales / Business Developme,1-2 Years,https://www.instahyre.com/job-234607-retail-sales-executive-at-ellementry-chennai/
Farida Gupta,Founded in 2011,50 - 200 employees,Delhi,194206,"Customer Interaction, Customer Relationship, Customer Service, Key Account Management",Devvender Singh,Customer Experience Associate,Sales and Business → Customer Service,3-7 Years,https://www.instahyre.com/job-194206-customer-experience-associate-at-farida-gupta-delhi/
HCL Technologies,Founded in 1976,More than 1000 employees,Bangalore,263798,"Java, Python, SQA, Spark, Scala",Poonam Thute,Big Data Scientist,"Data Science and Analysis → Data Analysis / Business Intelligence, Data Science / Machine Learning",1-4 Years,https://www.instahyre.com/job-263798-big-data-scientist-at-hcl-technologies-bangalore/
Klothinn,Founded in 2023,0 - 10 employees,Kolkata,236683,"Content Marketing, Content Writing, English Content",Suman Naskar,Copywriter,Marketing → Content Writing,1-4 Years,https://www.instahyre.com/job-236683-copywriter-at-klothinn-kolkata/
Tistabene Retails,Founded in 2016,10 - 50 employees,"Delhi, Jaipur, Mumbai",113031,"Business Development, Corporate Sales, Direct Sales, Sales, Telecalling",Hr Tistabene,Sales Executives - B2B,Sales and Business → Sales / Business Developme,2-3 Years,https://www.instahyre.com/job-113031-sales-executives-b2b-at-tistabene-retails-delhi-jaipur-mumbai/
Tistabene Retails,Founded in 2016,10 - 50 employees,Mumbai,113035,"Business Development, Corporate Sales, Direct Sales",Hr Tistabene,Sales Manager,Sales and Business → Sales / Business Developme,5-9 Years,https://www.instahyre.com/job-113035-sales-manager-at-tistabene-retails-mumbai/
Hustlehub,Founded in 2018,50 - 200 employees,Bangalore,256649,"Business Development, Corporate Sales, Direct Sales, International Sales, Sales",Srilakshmi Nair,Sales Manager,Sales and Business → Sales / Business Developme,3-5 Years,https://www.instahyre.com/job-256649-sales-manager-at-hustlehub-bangalore/
Internshala,Founded in 2011,50 - 200 employees,Noida,261974,Content Writing,Srishti Garg,Senior Content Writer,Marketing → Content Writing,0-3 Years,https://www.instahyre.com/job-261974-senior-content-writer-at-internshala-noida/
Truww,Founded in 2020,10 - 50 employees,Bangalore,226934,"Business Development, Direct Sales, Sales, Telecalling",Anima,Senior Sales Executive,Sales and Business → Sales / Business Developme,1-5 Years,https://www.instahyre.com/job-226934-senior-sales-executive-at-truww-bangalore/
AGCO Corporation,Founded in 1990,More than 1000 employees,Bangalore,238770,"Product Management, Agile, Data Analysis, Stakeholder Management, Warranty Management",Siddhartha S,Product Owner,Technical Management → Product Manageme,5-9 Years,https://www.instahyre.com/job-238770-product-owner-at-agco-corporation-bangalore/
BMW Deutsche Motoren,Founded in 2007,200 - 500 employees,Bangalore,234368,"Business Development, Corporate Sales, Direct Sales, Sales",Disha Behl,Sales Consultant,Sales and Business → Sales / Business Developme,2-6 Years,https://www.instahyre.com/job-234368-sales-consultant-at-bmw-deutsche-motoren-bangalore/
ElectricPe,Founded in 2021,10 - 50 employees,Bangalore,263190,"Business Development, Corporate Sales, Direct Sales, Sales, Telecalling",Akshaya Lakshmi,Corporate Sales Manager,Sales and Business → Sales / Business Developme,1-5 Years,https://www.instahyre.com/job-263190-corporate-sales-manager-at-electricpe-bangalore/
Fleetx,Founded in 2017,200 - 500 employees,"Ahmedabad, Gandhidham, Mumbai",227715,"Business Development, Direct Sales, Sales",Yesha Verma,Area Sales Manager,Sales and Business → Sales / Business Developme,4-8 Years,https://www.instahyre.com/job-227715-area-sales-manager-at-fleetx-ahmedabad-gandhidham-mumbai/
Fleetx,Founded in 2017,200 - 500 employees,"Jaipur, Kolkata, Surat",198835,"Business Development, Direct Sales, Sales",Vikas Kumar,Zonal Head - Sales,Sales and Business → Sales / Business Developme,10-14 Years,https://www.instahyre.com/job-198835-zonal-head-sales-at-fleetx-jaipur-kolkata-surat/
Housing,Founded in 2012,More than 1000 employees,Kolkata,241120,"Customer Relationship, Direct Sales, Sales",Alisha Saha,Relationship Manager,Sales and Business → Sales / Business Developme,1-5 Years,https://www.instahyre.com/job-241120-relationship-manager-at-housing-3-kolkata/
